# Frequency (cm-1), IR Intensity (km/mol), Raman Intensity (A2/amu)
1.113446588876887660e+02,3.018104084041073332e-01,6.327494032054652440e-01
1.117148421560555960e+02,3.088995078022815366e-01,5.966396539393482579e-01
1.120850254244224402e+02,3.163022238753351312e-01,5.635357880407813047e-01
1.124552086927892844e+02,3.240377701781708697e-01,5.331991748721043312e-01
1.128253919611561145e+02,3.321268577413980516e-01,5.054006398389517818e-01
1.131955752295229445e+02,3.405918359117343086e-01,4.799241473548362391e-01
1.135657584978897887e+02,3.494568485414755732e-01,4.565687873979024647e-01
1.139359417662566187e+02,3.587480073938785208e-01,4.351495854958285503e-01
1.143061250346234488e+02,3.684935848737435626e-01,4.154975235629002617e-01
1.146763083029902930e+02,3.787242284661543335e-01,3.974590536048420719e-01
1.150464915713571372e+02,3.894731995745367437e-01,3.808953052705624231e-01
1.154166748397239672e+02,4.007766397949967807e-01,3.656811275301016240e-01
1.157868581080907973e+02,4.126738680502468615e-01,3.517040602208674205e-01
1.161570413764576415e+02,4.252077124353955129e-01,3.388632990941779499e-01
1.165272246448244857e+02,4.384248811004577417e-01,3.270686952123191271e-01
1.168974079131913157e+02,4.523763770094174075e-01,3.162398136388819281e-01
1.172675911815581458e+02,4.671179619686321449e-01,3.063050654481611068e-01
1.176377744499249900e+02,4.827106758989471169e-01,2.972009197379456014e-01
1.180079577182918342e+02,4.992214179190835321e-01,2.888711975177113978e-01
1.183781409866586642e+02,5.167235963848644253e-01,2.812664462957599198e-01
1.187483242550254943e+02,5.352978555455771836e-01,2.743433923480222414e-01
1.191185075233923385e+02,5.550328868683382932e-01,2.680644666141760446e-01
1.194886907917591685e+02,5.760263332436685868e-01,2.623973996375560946e-01
1.198588740601259985e+02,5.983857940740492376e-01,2.573148807222457313e-01
1.202290573284928428e+02,6.222299384498336527e-01,2.527942763490142464e-01
1.205992405968596870e+02,6.476897319301181399e-01,2.488174027221546347e-01
1.209694238652265170e+02,6.749097794402288963e-01,2.453703469692991856e-01
1.213396071335933470e+02,7.040497818704952726e-01,2.424433308329793368e-01
1.217097904019601913e+02,7.352860962784031340e-01,2.400306094950136748e-01
1.220799736703270355e+02,7.688133780163527442e-01,2.381303962354222870e-01
1.224501569386938655e+02,8.048462660907490518e-01,2.367448006522140658e-01
1.228203402070606955e+02,8.436210485705827322e-01,2.358797637746827824e-01
1.231905234754275398e+02,8.853972102851668247e-01,2.355449670995560796e-01
1.235607067437943840e+02,9.304587171323026595e-01,2.357536837529322082e-01
1.239308900121611998e+02,9.791148262537692215e-01,2.365225279009600112e-01
1.243010732805280441e+02,1.031700125083005570e+00,2.378710423985943290e-01
1.246712565488948883e+02,1.088573391338479857e+00,2.398210437385631943e-01
1.250414398172617183e+02,1.150114729082322595e+00,2.423956172408152365e-01
1.254116230856285483e+02,1.216720276684833735e+00,2.456176245748939169e-01
1.257818063539953926e+02,1.288793614447673486e+00,2.495075523984371102e-01
1.261519896223622368e+02,1.366732853212404786e+00,2.540805006730704196e-01
1.265221728907290668e+02,1.450912317237197380e+00,2.593420930899100196e-01
1.268923561590958968e+02,1.541657837350575377e+00,2.652831092184640971e-01
1.272625394274627411e+02,1.639215075628017493e+00,2.718727185588628026e-01
1.276327226958295853e+02,1.743711167599189427e+00,2.790503821893845493e-01
1.280029059641964011e+02,1.855111423649744795e+00,2.867168259628972149e-01
1.283730892325632453e+02,1.973174875411709106e+00,2.947250170235088951e-01
1.287432725009300896e+02,2.097414782590298898e+00,3.028727826939199286e-01
1.291134557692969338e+02,2.227072059827932993e+00,3.108994849721132825e-01
1.294836390376637496e+02,2.361109694857538521e+00,3.184897319581331820e-01
1.298538223060305938e+02,2.498233283447947262e+00,3.252870251769851007e-01
1.302240055743974381e+02,2.636936357352970273e+00,3.309190085289783201e-01
1.305941888427642823e+02,2.775560873279213858e+00,3.350333416100955142e-01
1.309643721111310981e+02,2.912357250209745008e+00,3.373395553066926844e-01
1.313345553794979423e+02,3.045529831105841190e+00,3.376488181936325161e-01
1.317047386478647866e+02,3.173264947497998367e+00,3.359021297497951641e-01
1.320749219162316024e+02,3.293755768244996940e+00,3.321793709535361128e-01
1.324451051845984466e+02,3.405250373855949864e+00,3.266866506956815908e-01
1.328152884529652908e+02,3.506145926280060277e+00,3.197255085122696072e-01
1.331854717213321351e+02,3.595129067425006930e+00,3.116521160410210545e-01
1.335556549896989509e+02,3.671330193044042289e+00,3.028359345758791510e-01
1.339258382580657951e+02,3.734435899309398010e+00,2.936254109554063962e-01
1.342960215264326393e+02,3.784706999298382168e+00,2.843247040883232768e-01
1.346662047947994836e+02,3.822882601323876806e+00,2.751818777831044893e-01
1.350363880631662994e+02,3.849999256120934188e+00,2.663865868583749630e-01
1.354065713315331436e+02,3.867193147879985471e+00,2.580742752491404501e-01
1.357767545998999879e+02,3.875562116484409181e+00,2.503339691482566742e-01
1.361469378682668321e+02,3.876138078053847025e+00,2.432173783581157156e-01
1.365171211366336479e+02,3.869971418053395951e+00,2.367477960982235508e-01
1.368873044050004921e+02,3.858279366604489891e+00,2.309279686601335146e-01
1.372574876733673364e+02,3.842581834857099476e+00,2.257466007763723748e-01
1.376276709417341522e+02,3.824752180172588112e+00,2.211834716803749712e-01
1.379978542101009964e+02,3.806943077850002410e+00,2.172133011981279560e-01
1.383680374784678406e+02,3.791392296002599860e+00,2.138085723685318740e-01
1.387382207468346849e+02,3.780149500397291806e+00,2.109415267940903116e-01
1.391084040152015007e+02,3.774780889670535267e+00,2.085855292734312971e-01
1.394785872835683449e+02,3.776104012995741943e+00,2.067159668823463359e-01
1.398487705519351891e+02,3.783990270352453500e+00,2.053108144480090547e-01
1.402189538203020334e+02,3.797258041376542437e+00,2.043509681592595162e-01
1.405891370886688492e+02,3.813670469064730728e+00,2.038204237462740431e-01
1.409593203570356934e+02,3.830047221725789264e+00,2.037063555135830151e-01
1.413295036254025376e+02,3.842493656579141881e+00,2.039991370329730658e-01
1.416996868937693819e+02,3.846738770279130915e+00,2.046923327318364016e-01
1.420698701621361977e+02,3.838554476185795483e+00,2.057826811527958821e-01
1.424400534305030419e+02,3.814207869472079349e+00,2.072700845990412544e-01
1.428102366988698861e+02,3.770883105633656474e+00,2.091576156241956863e-01
1.431804199672367020e+02,3.707006893522327928e+00,2.114515479048180713e-01
1.435506032356035462e+02,3.622423542532257734e+00,2.141614170835156594e-01
1.439207865039703904e+02,3.518389959488362972e+00,2.173001159130134863e-01
1.442909697723372346e+02,3.397393458489346152e+00,2.208840272539425442e-01
1.446611530407040505e+02,3.262829141011927891e+00,2.249331980158237321e-01
1.450313363090708947e+02,3.118600043146189993e+00,2.294715568461274113e-01
1.454015195774377389e+02,2.968713525481561089e+00,2.345271781457897997e-01
1.457717028458045831e+02,2.816938013419308717e+00,2.401325947013563666e-01
1.461418861141713990e+02,2.666559864639616251e+00,2.463251607403883214e-01
1.465120693825382432e+02,2.520251151715681814e+00,2.531474663742352416e-01
1.468822526509050874e+02,2.380035499827356293e+00,2.606478029776829741e-01
1.472524359192719317e+02,2.247326000328657258e+00,2.688806767819928445e-01
1.476226191876387475e+02,2.123006411744828181e+00,2.779073644365353535e-01
1.479928024560055917e+02,2.007530953624709014e+00,2.877964989931836026e-01
1.483629857243724359e+02,1.901025044868398073e+00,2.986246669671150933e-01
1.487331689927392517e+02,1.803376428820235189e+00,3.104769858652616232e-01
1.491033522611060960e+02,1.714311774206494610e+00,3.234476155857725632e-01
1.494735355294729402e+02,1.633457656211603215e+00,3.376401347644084616e-01
1.498437187978397844e+02,1.560387025331149369e+00,3.531676824946823889e-01
1.502139020662066002e+02,1.494653299240533695e+00,3.701527245921698017e-01
1.505840853345734445e+02,1.435814494555012200e+00,3.887262493520418638e-01
1.509542686029402887e+02,1.383449684684445069e+00,4.090261286758093418e-01
1.513244518713071329e+02,1.337169751135045770e+00,4.311942961842913924e-01
1.516946351396739487e+02,1.296624022420403977e+00,4.553722976454665505e-01
1.520648184080407930e+02,1.261504037629702202e+00,4.816946705596336642e-01
1.524350016764076372e+02,1.231545361178010278e+00,5.102795303154306072e-01
1.528051849447744530e+02,1.206528119033146940e+00,5.412157188559189036e-01
1.531753682131412972e+02,1.186276720709244836e+00,5.745459712474038083e-01
1.535455514815081415e+02,1.170659066207702326e+00,6.102458660077713093e-01
1.539157347498749857e+02,1.159585401749906541e+00,6.481989558863459067e-01
1.542859180182418015e+02,1.153006871297906910e+00,6.881695251051569429e-01
1.546561012866086458e+02,1.150913701656639976e+00,7.297759076232687159e-01
1.550262845549754900e+02,1.153332847146093521e+00,7.724690681169950057e-01
1.553964678233423342e+02,1.160324795875067094e+00,8.155227392892819838e-01
1.557666510917091500e+02,1.171979095136411742e+00,8.580420445883404357e-01
1.561368343600759943e+02,1.188407982351534331e+00,8.989962771615358506e-01
1.565070176284428385e+02,1.209737309320871868e+00,9.372777175527881033e-01
1.568772008968096827e+02,1.236093730224498310e+00,9.717823302251968887e-01
1.572473841651764985e+02,1.267586914957348210e+00,1.001501418012630262e+00
1.576175674335433428e+02,1.304285406675014913e+00,1.025608253186975016e+00
1.579877507019101870e+02,1.346184770751008841e+00,1.043522569943173606e+00
1.583579339702770028e+02,1.393167051410934665e+00,1.054939556699857839e+00
1.587281172386438470e+02,1.444951505816830517e+00,1.059817995363605991e+00
1.590983005070106913e+02,1.501038421020981950e+00,1.058332564509140594e+00
1.594684837753775355e+02,1.560650804270483860e+00,1.050805243804177502e+00
1.598386670437443513e+02,1.622682915950281579e+00,1.037636817762209951e+00
1.602088503121111955e+02,1.685669485570333359e+00,1.019258670697935409e+00
1.605790335804780398e+02,1.747793582639102672e+00,9.961165949837138545e-01
1.609492168488448840e+02,1.806951949927415146e+00,9.686849656206097947e-01
1.613194001172116998e+02,1.860890930495563200e+00,9.374970559122315361e-01
1.616895833855785440e+02,1.907411631017645881e+00,9.031713159065772878e-01
1.620597666539453883e+02,1.944620789711868580e+00,8.664167353946010675e-01
1.624299499223122325e+02,1.971180494881916045e+00,8.280107603801333260e-01
1.628001331906790483e+02,1.986496359050452076e+00,7.887549892914176297e-01
1.631703164590458925e+02,1.990789955488779794e+00,7.494214994073539193e-01
1.635404997274127368e+02,1.985029016764986221e+00,7.107037484677202199e-01
1.639106829957795526e+02,1.970728321944053674e+00,6.731818586962681206e-01
1.642808662641463968e+02,1.949668835701437564e+00,6.373059515675235653e-01
1.646510495325132410e+02,1.923599183294863790e+00,6.033959732939241372e-01
1.650212328008800853e+02,1.893979130018894841e+00,5.716535199178812698e-01
1.653914160692469011e+02,1.861806395924796353e+00,5.421804784662505039e-01
1.657615993376137453e+02,1.827546040184891307e+00,5.150000549837951969e-01
1.661317826059805896e+02,1.791162591638299606e+00,4.900771004023365962e-01
1.665019658743474338e+02,1.752240475710089562e+00,4.673359745574101054e-01
1.668721491427142496e+02,1.710166439325510046e+00,4.466752225523327180e-01
1.672423324110810938e+02,1.664337774590518793e+00,4.279790146732311285e-01
1.676125156794479381e+02,1.614354428004927122e+00,4.111256741184596275e-01
1.679826989478147823e+02,1.560155771894369492e+00,3.959937746741178932e-01
1.683528822161815981e+02,1.502076358463726002e+00,3.824663162303871822e-01
1.687230654845484423e+02,1.440816659077551742e+00,3.704334420724232912e-01
1.690932487529152866e+02,1.377346926353675949e+00,3.597940889160926026e-01
1.694634320212821024e+02,1.312776446875148828e+00,3.504568822869565947e-01
1.698336152896489466e+02,1.248222328295075512e+00,3.423405179858045599e-01
1.702037985580157908e+02,1.184703414971412405e+00,3.353738098401399248e-01
1.705739818263826351e+02,1.123071692030563451e+00,3.294955355695970423e-01
1.709441650947494509e+02,1.063981435571451195e+00,3.246541753450665202e-01
1.713143483631162951e+02,1.007888677159068935e+00,3.208076097078426114e-01
1.716845316314831393e+02,9.550706781992281957e-01,3.179228230260505716e-01
1.720547148998499836e+02,9.056557122800804605e-01,3.159756438540784473e-01
1.724248981682167994e+02,8.596557721746593828e-01,3.149505429435716652e-01
1.727950814365836436e+02,8.169974846335764651e-01,3.148405020162036161e-01
1.731652647049504878e+02,7.775487762001525027e-01,3.156469607610205008e-01
1.735354479733173321e+02,7.411404318268590696e-01,3.173798450432087637e-01
1.739056312416841479e+02,7.075826591118271613e-01,3.200576752920717416e-01
1.742758145100509921e+02,6.766772646287797510e-01,3.237077497980623830e-01
1.746459977784178363e+02,6.482262288261440020e-01,3.283663924886649488e-01
1.750161810467846522e+02,6.220374652436144736e-01,3.340792478696036905e-01
1.753863643151514964e+02,5.979284604136616554e-01,3.409015962369300601e-01
1.757565475835183406e+02,5.757283694516410755e-01,3.488986487569861183e-01
1.761267308518851848e+02,5.552790200856340119e-01,3.581457630036400941e-01
1.764969141202520007e+02,5.364351694030573547e-01,3.687284930428892382e-01
1.768670973886188449e+02,5.190642679908558099e-01,3.807423517023600379e-01
1.772372806569856891e+02,5.030459154878104133e-01,3.942921133613160878e-01
1.776074639253525334e+02,4.882711376414163307e-01,4.094904203281279909e-01
1.779776471937193492e+02,4.746415748123971601e-01,4.264553718561759910e-01
1.783478304620861934e+02,4.620686425690045396e-01,4.453066708213312963e-01
1.787180137304530376e+02,4.504727039965500390e-01,4.661597815122170418e-01
1.790881969988198534e+02,4.397822785156805248e-01,4.891174228953357739e-01
1.794583802671866977e+02,4.299333017085086861e-01,5.142576087772301463e-01
1.798285635355535419e+02,4.208684436388855921e-01,5.416173955457331823e-01
1.801987468039203861e+02,4.125364884841419832e-01,5.711715888821772280e-01
1.805689300722872019e+02,4.048917752815711091e-01,6.028060151939893530e-01
1.809391133406540462e+02,3.978936977335625347e-01,6.362857471681957477e-01
1.813092966090208904e+02,3.915062599517311059e-01,6.712200700401741438e-01
1.816794798773877346e+02,3.856976844972557772e-01,7.070281140089391680e-01
1.820496631457545504e+02,3.804400689121396617e-01,7.429118812388364468e-01
1.824198464141213947e+02,3.757090870087811396e-01,7.778463580961606505e-01
1.827900296824882389e+02,3.714837314065135843e-01,8.105983779735720374e-01
1.831602129508550831e+02,3.677460941148084084e-01,8.397851022707570889e-01
1.835303962192218989e+02,3.644811823243394588e-01,8.639775249460274198e-01
1.839005794875887432e+02,3.616767669536563035e-01,8.818435185731748893e-01
1.842707627559555874e+02,3.593232618953423052e-01,8.923105516297460404e-01
1.846409460243224032e+02,3.574136323026402828e-01,8.947155786592230209e-01
1.850111292926892474e+02,3.559433306519069196e-01,8.889056409504311196e-01
1.853813125610560917e+02,3.549102597070600273e-01,8.752618946028324354e-01
1.857514958294229359e+02,3.543147619002524062e-01,8.546402522585677675e-01
1.861216790977897517e+02,3.541596350300195151e-01,8.282452668578855759e-01
1.864918623661565960e+02,3.544501745665350478e-01,7.974701754989165225e-01
1.868620456345234402e+02,3.551942432465628463e-01,7.637393142328268159e-01
1.872322289028902844e+02,3.564023690421621038e-01,7.283806032350206294e-01
1.876024121712571002e+02,3.580878730012741484e-01,6.925415889827474247e-01
1.879725954396239445e+02,3.602670288884096683e-01,6.571491981238876123e-01
1.883427787079907887e+02,3.629592570017962094e-01,6.229047698403482602e-01
1.887129619763576329e+02,3.661873550093736607e-01,5.903026837599223420e-01
1.890831452447244487e+02,3.699777691265597745e-01,5.596615478485706952e-01
1.894533285130912930e+02,3.743609094459269815e-01,5.311594987760850373e-01
1.898235117814581372e+02,3.793715137084456290e-01,5.048681600185793705e-01
1.901936950498249530e+02,3.850490642538846320e-01,4.807823500444964870e-01
1.905638783181917972e+02,3.914382632665566186e-01,4.588444441298633603e-01
1.909340615865586415e+02,3.985895716843782521e-01,4.389634037322563964e-01
1.913042448549254573e+02,4.065598171783061376e-01,4.210290628163669835e-01
1.916744281232923015e+02,4.154128763095725763e-01,4.049224828789571018e-01
1.920446113916591457e+02,4.252204351510768809e-01,3.905232056088009940e-01
1.924147946600259900e+02,4.360628310547176034e-01,3.777141468898542742e-01
1.927849779283928058e+02,4.480299754852538618e-01,3.663847517263262299e-01
1.931551611967596500e+02,4.612223533974498246e-01,3.564329017595668780e-01
1.935253444651264942e+02,4.757520877698935280e-01,3.477659522008113568e-01
1.938955277334933385e+02,4.917440476040801922e-01,3.403011793617096159e-01
1.942657110018601543e+02,5.093369625466294126e-01,3.339658439954586999e-01
1.946358942702269985e+02,5.286844853904016928e-01,3.286970172123305778e-01
1.950060775385938427e+02,5.499561125105895121e-01,3.244412717335724006e-01
1.953762608069606586e+02,5.733378284635971545e-01,3.211543085730853009e-01
1.957464440753275028e+02,5.990322802868666141e-01,3.188005650896501009e-01
1.961166273436943470e+02,6.272582043364999249e-01,3.173528323804217233e-01
1.964868106120611913e+02,6.582487179421300239e-01,3.167918962697938712e-01
1.968569938804280071e+02,6.922479439171360660e-01,3.171062051403241711e-01
1.972271771487948513e+02,7.295052538458155489e-01,3.182915583121980752e-01
1.975973604171616955e+02,7.702661967133249687e-01,3.203507996179722483e-01
1.979675436855285398e+02,8.147589340318343032e-01,3.232934915000310050e-01
1.983377269538953556e+02,8.631747623264124369e-01,3.271355349411696478e-01
1.987079102222621998e+02,9.156411341317290953e-01,3.318986898331313107e-01
1.990780934906290440e+02,9.721856083679754068e-01,3.376099397133580649e-01
1.994482767589958883e+02,1.032689563079947082e+00,3.443006359794688609e-01
1.998184600273627041e+02,1.096831567037802158e+00,3.520053531338668273e-01
2.001886432957295483e+02,1.164022376824622063e+00,3.607603937341763434e-01
2.005588265640963925e+02,1.233336923141548080e+00,3.706019069596226401e-01
2.009290098324632083e+02,1.303453457263770376e+00,3.815636364972732064e-01
2.012991931008300526e+02,1.372615729513274596e+00,3.936743985831588355e-01
2.016693763691968968e+02,1.438639107137672957e+00,4.069555099673961562e-01
2.020395596375637410e+02,1.498983055604980574e+00,4.214185270307164721e-01
2.024097429059305568e+02,1.550906714704232137e+00,4.370637954666764524e-01
2.027799261742974011e+02,1.591708568384230471e+00,4.538804091480506675e-01
2.031501094426642453e+02,1.619026279337313801e+00,4.718482043856533359e-01
2.035202927110310895e+02,1.631145546051027129e+00,4.909423539083623278e-01
2.038904759793979053e+02,1.627249534132513054e+00,5.111409617868061250e-01
2.042606592477647496e+02,1.607544821293461546e+00,5.324357553898529938e-01
2.046308425161315938e+02,1.573228992130886850e+00,5.548454309316938060e-01
2.050010257844984380e+02,1.526309004135451231e+00,5.784303551877297833e-01
